filename,shape_dictionary,sweep
sweep_22_3.svg,"{'triangle': 11, 'hexagon': 17, 'star': 10, 'rectangle': 7, 'circle': 3, 'pentagon': 4, 'octagon': 3}","(7, 10, -30)"
sweep_22_4.svg,"{'octagon': 14, 'pentagon': 11, 'triangle': 14, 'star': 4, 'circle': 6, 'rectangle': 2}","(7, 10, -30)"
sweep_22_5.svg,"{'hexagon': 1, 'rectangle': 4, 'star': 9, 'circle': 1, 'octagon': 15, 'pentagon': 9, 'triangle': 1}","(7, 10, -30)"
sweep_22_6.svg,"{'pentagon': 3, 'star': 4, 'rectangle': 4, 'triangle': 3, 'hexagon': 4, 'octagon': 15, 'circle': 4}","(7, 10, -30)"
sweep_22_7.svg,"{'triangle': 13, 'pentagon': 8, 'star': 7, 'hexagon': 1, 'rectangle': 10, 'octagon': 5}","(7, 10, -30)"
sweep_22_8.svg,"{'pentagon': 6, 'rectangle': 12, 'star': 13, 'triangle': 1, 'circle': 10, 'hexagon': 1, 'octagon': 1}","(7, 10, -30)"
sweep_22_9.svg,"{'circle': 12, 'star': 7, 'hexagon': 6, 'rectangle': 11, 'pentagon': 5, 'triangle': 2, 'octagon': 3}","(7, 10, -30)"
sweep_23_0.svg,"{'star': 4, 'rectangle': 10, 'hexagon': 2, 'triangle': 14, 'circle': 8, 'octagon': 8, 'pentagon': 16}","(7, 10, -40)"
sweep_23_1.svg,"{'circle': 6, 'hexagon': 9, 'triangle': 12, 'star': 6, 'octagon': 5, 'rectangle': 3, 'pentagon': 6}","(7, 10, -40)"
sweep_23_2.svg,"{'triangle': 4, 'pentagon': 8, 'rectangle': 8, 'star': 7, 'hexagon': 10, 'circle': 9, 'octagon': 5}","(7, 10, -40)"
sweep_23_3.svg,"{'hexagon': 15, 'circle': 6, 'pentagon': 11, 'star': 11, 'rectangle': 8, 'octagon': 5, 'triangle': 10}","(7, 10, -40)"
sweep_23_4.svg,"{'octagon': 3, 'triangle': 2, 'star': 8, 'pentagon': 7, 'hexagon': 6, 'rectangle': 10, 'circle': 6}","(7, 10, -40)"
sweep_23_5.svg,"{'circle': 5, 'pentagon': 5, 'octagon': 8, 'triangle': 8, 'rectangle': 2, 'star': 11, 'hexagon': 8}","(7, 10, -40)"
sweep_23_6.svg,"{'rectangle': 9, 'octagon': 5, 'circle': 18, 'pentagon': 12, 'star': 6, 'hexagon': 4}","(7, 10, -40)"
sweep_23_7.svg,"{'hexagon': 12, 'star': 9, 'octagon': 14, 'pentagon': 17, 'triangle': 17, 'circle': 10, 'rectangle': 5}","(7, 10, -40)"
sweep_23_8.svg,"{'star': 1, 'rectangle': 4, 'octagon': 5, 'hexagon': 15, 'pentagon': 3, 'circle': 10, 'triangle': 2}","(7, 10, -40)"
sweep_23_9.svg,"{'pentagon': 9, 'octagon': 1, 'hexagon': 6, 'circle': 3, 'rectangle': 9, 'star': 3, 'triangle': 4}","(7, 10, -40)"
